time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
401.0,-5,-7,-1,7,-1,-2,9,4,1,-5,-8,-8
402.0,-5,-7,-1,7,-1,-2,9,4,2,-5,-8,-8
403.0,-5,-7,-1,7,-1,-2,9,4,2,-5,-8,-8
404.0,-5,-7,-1,7,-1,-2,9,4,2,-5,-8,-8
405.0,-5,-7,-1,7,-1,-2,9,5,2,-5,-8,-8
406.0,-5,-7,-1,7,-1,-2,9,5,2,-5,-8,-8
407.0,-5,-7,-1,7,-1,-2,9,5,2,-5,-8,-8
408.0,-5,-7,-1,7,-2,-2,9,5,2,-5,-8,-8
409.0,-5,-7,-1,7,-2,-2,9,5,2,-5,-8,-8
410.0,-5,-7,-1,7,-2,-2,9,5,2,-5,-8,-9
411.0,-5,-7,-1,7,-2,-2,9,5,2,-5,-8,-9
412.0,-5,-7,-1,7,-2,-2,9,5,2,-5,-8,-9
413.0,-5,-7,-1,7,-2,-2,9,5,1,-5,-8,-9
414.0,-5,-7,-1,7,-2,-2,9,5,1,-5,-8,-9
415.0,-5,-7,-1,7,-2,-2,9,5,1,-5,-8,-9
